zip,population_size,kappa,nu,avgsh,sdsh,lon,lat,h_crowding,w_crowding
10,469375,7.425251845,0.164578314,0.008936108,0.005808882,-72.57168889,42.26724603,91.39994304,777.550548
11,168835,5.971375543,0.254355993,0.008883301,0.005760756,-72.55006923,42.10807692,83.18740728,1605.207985
12,130689,4.906141473,0.259629782,0.008629125,0.005624054,-73.22594688,42.34145625,69.24081744,375.2965109
13,83111,5.043539397,0.322671422,0.008685087,0.005662837,-72.57722069,42.5946,54.56841495,201.3814278
14,211812,6.421729052,0.188721905,0.008618642,0.005592578,-71.78675455,42.58431364,140.6759605,346.4901597
15,373719,7.648299083,0.087895361,0.008425306,0.005418952,-71.82691556,42.2213,166.0909369,576.92348
16,188402,6.630617381,0.090248072,0.008352749,0.005384712,-71.82541818,42.26624545,182.0235825,1737.443165
17,379027,7.039945106,0.141562786,0.008584425,0.005510762,-71.45004444,42.34831852,155.3685486,914.876427
18,713126,8.919058472,0.080978869,0.008438368,0.005420318,-71.2063125,42.64359063,150.2408988,1033.141357
19,476314,6.722009221,0.134909103,0.008588542,0.005542398,-70.90104839,42.61158065,169.6709641,847.4905928
20,400371,6.456882518,0.213988069,0.008862395,0.005619332,-71.14536538,42.15310385,150.7424928,675.7957643
21,1283942,9.216713007,0.113692894,0.008495155,0.005412697,-71.06524038,42.33539615,135.3792394,3461.676885
23,441063,6.684486679,0.253055263,0.008705673,0.005425707,-70.91105385,42.02551154,189.9890856,531.7177339
24,408771,7.913596272,0.129123837,0.008566989,0.005479656,-71.21751481,42.35115926,93.79933222,1184.364451
25,116621,5.059758639,0.366779984,0.008637367,0.005119823,-70.54158,41.588812,88.23777243,244.6302867
26,147883,4.501155315,0.329296574,0.008502801,0.005018002,-70.17489189,41.73549459,109.9510391,297.9078282
27,526336,6.465441147,0.231601597,0.008772345,0.005384628,-71.07524722,41.75509722,160.6333137,477.7789656
28,672977,7.597030912,0.228360161,0.008684549,0.005418752,-71.53358667,41.67107667,66.45006632,518.0183793
29,379604,7.230487946,0.283580979,0.008611025,0.00538207,-71.43277647,41.81847059,67.51183345,752.4039457
30,377547,6.315239587,0.134538223,0.008526447,0.005538008,-71.50824412,42.88399412,102.1673743,614.2057892
31,148310,4.299265813,0.345851231,0.008395425,0.005456469,-71.4611,42.99184286,122.324991,750.2928678
32,187843,5.71608225,0.328732669,0.008282547,0.005467607,-71.65587759,43.5219,62.83663147,210.1223894
33,61385,4.288989836,0.368411002,0.00843916,0.005545405,-71.550575,43.2528,116.236514,752.3743574
34,83919,4.670840305,0.351981803,0.00855813,0.005636968,-72.207084,42.917376,57.38956524,294.4409743
37,77452,5.449915288,0.253700446,0.008260077,0.005567022,-72.12758077,43.69826538,58.34866165,1289.500549
38,320300,6.686517784,0.109139585,0.008204316,0.005331637,-71.06268636,43.40466667,90.35322649,466.5238991
39,48241,4.612941086,0.295430539,0.007975076,0.005141071,-70.70109091,43.19878182,36.62189762,273.4437667
40,336449,5.595081536,0.232121437,0.007637281,0.004946017,-70.53438387,43.74766452,69.60957419,346.8075106
42,176789,5.091997495,0.441437596,0.007470729,0.00495077,-70.39352449,44.33260816,84.76005007,430.6638316
54,233934,5.014856124,0.174308381,0.007926275,0.005479412,-73.04610833,44.60736042,101.9889427,995.4178834
